"msoa1","msoa1.name"
"E02001236","Tameside 008"
"E02001237","Tameside 009"
"E02001234","Tameside 006"
"E02001235","Tameside 007"
"E02001232","Tameside 004"
"E02001233","Tameside 005"
"E02001230","Tameside 002"
"E02001231","Tameside 003"
"E02001238","Tameside 010"
"E02001239","Tameside 011"
"E02001106","Oldham 009"
"E02001187","Stockport 001"
"E02001186","Salford 030"
"E02001107","Oldham 010"
"E02001185","Salford 029"
"E02001104","Oldham 007"
"E02001184","Salford 028"
"E02001105","Oldham 008"
"E02001183","Salford 027"
"E02001102","Oldham 005"
"E02001182","Salford 026"
"E02001103","Oldham 006"
"E02001181","Salford 025"
"E02001100","Oldham 003"
"E02001180","Salford 024"
"E02001101","Oldham 004"
"E02001108","Oldham 011"
"E02001189","Stockport 003"
"E02001109","Oldham 012"
"E02001188","Stockport 002"
"E02001056","Manchester 012"
"E02001057","Manchester 013"
"E02001055","Manchester 011"
"E02001052","Manchester 008"
"E02001053","Manchester 009"
"E02001050","Manchester 006"
"E02001051","Manchester 007"
"E02001059","Manchester 015"
"E02001206","Stockport 020"
"E02001287","Wigan 001"
"E02001207","Stockport 021"
"E02001286","Trafford 028"
"E02001204","Stockport 018"
"E02001285","Trafford 027"
"E02001205","Stockport 019"
"E02001284","Trafford 026"
"E02001202","Stockport 016"
"E02001283","Trafford 025"
"E02001203","Stockport 017"
"E02001282","Trafford 024"
"E02001200","Stockport 014"
"E02001281","Trafford 023"
"E02001201","Stockport 015"
"E02001280","Trafford 022"
"E02001208","Stockport 022"
"E02001289","Wigan 003"
"E02001209","Stockport 023"
"E02001288","Wigan 002"
"E02001116","Oldham 019"
"E02001197","Stockport 011"
"E02001117","Oldham 020"
"E02001196","Stockport 010"
"E02001114","Oldham 017"
"E02001195","Stockport 009"
"E02001115","Oldham 018"
"E02001194","Stockport 008"
"E02001112","Oldham 015"
"E02001193","Stockport 007"
"E02001113","Oldham 016"
"E02001192","Stockport 006"
"E02001110","Oldham 013"
"E02001191","Stockport 005"
"E02001111","Oldham 014"
"E02001190","Stockport 004"
"E02001118","Oldham 021"
"E02001199","Stockport 013"
"E02001119","Oldham 022"
"E02001198","Stockport 012"
"E02001026","Bury 008"
"E02001027","Bury 009"
"E02001024","Bury 006"
"E02001025","Bury 007"
"E02001022","Bury 004"
"E02001023","Bury 005"
"E02001020","Bury 002"
"E02001021","Bury 003"
"E02001028","Bury 010"
"E02001029","Bury 011"
"E02001216","Stockport 030"
"E02001297","Wigan 011"
"E02001217","Stockport 031"
"E02001296","Wigan 010"
"E02001214","Stockport 028"
"E02001295","Wigan 009"
"E02001215","Stockport 029"
"E02001294","Wigan 008"
"E02001212","Stockport 026"
"E02001293","Wigan 007"
"E02001213","Stockport 027"
"E02001292","Wigan 006"
"E02001210","Stockport 024"
"E02001291","Wigan 005"
"E02001211","Stockport 025"
"E02001290","Wigan 004"
"E02001218","Stockport 032"
"E02001299","Wigan 013"
"E02001219","Stockport 033"
"E02001298","Wigan 012"
"E02006902","Manchester 054"
"E02001036","Bury 018"
"E02001037","Bury 019"
"E02001034","Bury 016"
"E02001035","Bury 017"
"E02001032","Bury 014"
"E02001033","Bury 015"
"E02001030","Bury 012"
"E02001031","Bury 013"
"E02001038","Bury 020"
"E02001039","Bury 021"
"E02001166","Salford 010"
"E02001167","Salford 011"
"E02001164","Salford 008"
"E02001165","Salford 009"
"E02001162","Salford 006"
"E02001163","Salford 007"
"E02001160","Salford 004"
"E02001161","Salford 005"
"E02001168","Salford 012"
"E02001169","Salford 013"
"E02006916","Manchester 059"
"E02006917","Manchester 060"
"E02006914","Manchester 057"
"E02006915","Manchester 058"
"E02006912","Manchester 055"
"E02001087","Manchester 043"
"E02001006","Bolton 023"
"E02001086","Manchester 042"
"E02001007","Bolton 024"
"E02001085","Manchester 041"
"E02001004","Bolton 021"
"E02001084","Manchester 040"
"E02001005","Bolton 022"
"E02001083","Manchester 039"
"E02001002","Bolton 019"
"E02001082","Manchester 038"
"E02001003","Bolton 020"
"E02001081","Manchester 037"
"E02001000","Bolton 017"
"E02001080","Manchester 036"
"E02001001","Bolton 018"
"E02001089","Manchester 045"
"E02001008","Bolton 025"
"E02001088","Manchester 044"
"E02001009","Bolton 026"
"E02001267","Trafford 009"
"E02001264","Trafford 006"
"E02001265","Trafford 007"
"E02001316","Wigan 030"
"E02001317","Wigan 031"
"E02001314","Wigan 028"
"E02001315","Wigan 029"
"E02001312","Wigan 026"
"E02001313","Wigan 027"
"E02001310","Wigan 024"
"E02001311","Wigan 025"
"E02001318","Wigan 032"
"E02001319","Wigan 033"
"E02001226","Stockport 040"
"E02001227","Stockport 041"
"E02001224","Stockport 038"
"E02001225","Stockport 039"
"E02001222","Stockport 036"
"E02001223","Stockport 037"
"E02001220","Stockport 034"
"E02001262","Trafford 004"
"E02001263","Trafford 005"
"E02001260","Trafford 002"
"E02001261","Trafford 003"
"E02001268","Trafford 010"
"E02001269","Trafford 011"
"E02001176","Salford 020"
"E02001177","Salford 021"
"E02001174","Salford 018"
"E02001175","Salford 019"
"E02001172","Salford 016"
"E02001173","Salford 017"
"E02001170","Salford 014"
"E02001178","Salford 022"
"E02001179","Salford 023"
"E02001097","Manchester 053"
"E02001016","Bolton 033"
"E02001096","Manchester 052"
"E02001017","Bolton 034"
"E02001095","Manchester 051"
"E02001014","Bolton 031"
"E02001094","Manchester 050"
"E02001015","Bolton 032"
"E02001093","Manchester 049"
"E02001012","Bolton 029"
"E02001092","Manchester 048"
"E02001013","Bolton 030"
"E02001091","Manchester 047"
"E02001010","Bolton 027"
"E02001090","Manchester 046"
"E02001011","Bolton 028"
"E02001018","Bolton 035"
"E02001099","Oldham 002"
"E02001019","Bury 001"
"E02001098","Oldham 001"
"E02001326","Wigan 040"
"E02001324","Wigan 038"
"E02001325","Wigan 039"
"E02001322","Wigan 036"
"E02001323","Wigan 037"
"E02001320","Wigan 034"
"E02001321","Wigan 035"
"E02001276","Trafford 018"
"E02001277","Trafford 019"
"E02001274","Trafford 016"
"E02001275","Trafford 017"
"E02001272","Trafford 014"
"E02001273","Trafford 015"
"E02001270","Trafford 012"
"E02001271","Trafford 013"
"E02001278","Trafford 020"
"E02001279","Trafford 021"
"E02001146","Rochdale 015"
"E02001147","Rochdale 016"
"E02001144","Rochdale 013"
"E02001145","Rochdale 014"
"E02001142","Rochdale 011"
"E02001143","Rochdale 012"
"E02001140","Rochdale 009"
"E02001141","Rochdale 010"
"E02001148","Rochdale 017"
"E02000987","Bolton 004"
"E02001149","Rochdale 018"
"E02000986","Bolton 003"
"E02000985","Bolton 002"
"E02000984","Bolton 001"
"E02000989","Bolton 006"
"E02000988","Bolton 005"
"E02001246","Tameside 018"
"E02001247","Tameside 019"
"E02001244","Tameside 016"
"E02001245","Tameside 017"
"E02001242","Tameside 014"
"E02001243","Tameside 015"
"E02001240","Tameside 012"
"E02001241","Tameside 013"
"E02001248","Tameside 020"
"E02001249","Tameside 021"
"E02001156","Rochdale 025"
"E02001157","Salford 001"
"E02001154","Rochdale 023"
"E02001155","Rochdale 024"
"E02001152","Rochdale 021"
"E02001153","Rochdale 022"
"E02001150","Rochdale 019"
"E02001151","Rochdale 020"
"E02001158","Salford 002"
"E02000997","Bolton 014"
"E02001159","Salford 003"
"E02000996","Bolton 013"
"E02000995","Bolton 012"
"E02000994","Bolton 011"
"E02000993","Bolton 010"
"E02000992","Bolton 009"
"E02000991","Bolton 008"
"E02000990","Bolton 007"
"E02000999","Bolton 016"
"E02000998","Bolton 015"
"E02001066","Manchester 022"
"E02001067","Manchester 023"
"E02001064","Manchester 020"
"E02001065","Manchester 021"
"E02001062","Manchester 018"
"E02001063","Manchester 019"
"E02001061","Manchester 017"
"E02001068","Manchester 024"
"E02001069","Manchester 025"
"E02001306","Wigan 020"
"E02001307","Wigan 021"
"E02001304","Wigan 018"
"E02001305","Wigan 019"
"E02001302","Wigan 016"
"E02001303","Wigan 017"
"E02001300","Wigan 014"
"E02001301","Wigan 015"
"E02001308","Wigan 022"
"E02001309","Wigan 023"
"E02001256","Tameside 028"
"E02001257","Tameside 029"
"E02001254","Tameside 026"
"E02001255","Tameside 027"
"E02001252","Tameside 024"
"E02001253","Tameside 025"
"E02001250","Tameside 022"
"E02001251","Tameside 023"
"E02001258","Tameside 030"
"E02001259","Trafford 001"
"E02001126","Oldham 029"
"E02001127","Oldham 030"
"E02001124","Oldham 027"
"E02001125","Oldham 028"
"E02001123","Oldham 026"
"E02001121","Oldham 024"
"E02001128","Oldham 031"
"E02001129","Oldham 032"
"E02001076","Manchester 032"
"E02001077","Manchester 033"
"E02001074","Manchester 030"
"E02001075","Manchester 031"
"E02001072","Manchester 028"
"E02001073","Manchester 029"
"E02001070","Manchester 026"
"E02001071","Manchester 027"
"E02001078","Manchester 034"
"E02001079","Manchester 035"
"E02001221","Stockport 035"
"E02001228","Stockport 042"
"E02001229","Tameside 001"
"E02001136","Rochdale 005"
"E02001137","Rochdale 006"
"E02001134","Rochdale 003"
"E02001135","Rochdale 004"
"E02001132","Rochdale 001"
"E02001133","Rochdale 002"
"E02001130","Oldham 033"
"E02001131","Oldham 034"
"E02001138","Rochdale 007"
"E02001139","Rochdale 008"
"E02001046","Manchester 002"
"E02006860","Oldham 035"
"E02001047","Manchester 003"
"E02001044","Bury 026"
"E02001045","Manchester 001"
"E02001042","Bury 024"
"E02001043","Bury 025"
"E02001040","Bury 022"
"E02001041","Bury 023"
"E02001048","Manchester 004"
"E02001049","Manchester 005"
"E02006913","Manchester 056"
"E02001266","Trafford 008"
"E02001171","Salford 015"
